fci,t1000
non fci,t1001
non fci,t1002
fci,t1003
fci,t1004
fci,t1005
fci,t1006
fci,t1007
non fci,t1008
non fci,t1009
non fci,t1010
non fci,t1011
non fci,t1012
non fci,t1013
non fci,t1014
non fci,t1015
fci,t1016
fci,t1017
non fci,t1018
non fci,t1019
fci,t1020
non fci,t1021
non fci,t1022
non fci,t1023
non fci,t1024
non fci,t1025
non fci,t1026
non fci,t1027
non fci,t1028
fci,t1029
fci,t1030
non fci,t1031
fci,t1032
non fci,t1033
non fci,t1034
non fci,t1035
non fci,t1036
non fci,t1037
non fci,t1038
non fci,t1039
non fci,t1040
non fci,t1041
non fci,t1042
non fci,t1043
non fci,t1044
non fci,t1045
fci,t1046
non fci,t1047
non fci,t1048
non fci,t1049
non fci,t1050
non fci,t1051
non fci,t1052
fci,t1053
fci,t1054
fci,t1055
non fci,t1056
fci,t1057
non fci,t1058
non fci,t1059
non fci,t1060
non fci,t1061
non fci,t1062
non fci,t1063
non fci,t1064
fci,t1065
non fci,t1066
fci,t1067
non fci,t1068
non fci,t1069
fci,t1070
non fci,t1071
fci,t1072
non fci,t1073
non fci,t1074
fci,t1075
non fci,t1076
non fci,t1077
non fci,t1078
non fci,t1079
non fci,t1080
fci,t1081
non fci,t1082
fci,t1083
non fci,t1084
fci,t1085
non fci,t1086
fci,t1087
fci,t1088
fci,t1089
fci,t1090
non fci,t1091
non fci,t1092
non fci,t1093
non fci,t1094
fci,t1095
fci,t1096
non fci,t1097
non fci,t1098
fci,t1099
fci,t1100
non fci,t1101
non fci,t1102
non fci,t1103
non fci,t1104
non fci,t1105
fci,t1106
non fci,t1107
non fci,t1108
non fci,t1109
non fci,t1110
non fci,t1111
non fci,t1112
fci,t1113
non fci,t1114
fci,t1115
non fci,t1116
fci,t1117
non fci,t1118
non fci,t1119
non fci,t1120
fci,t1121
non fci,t1122
fci,t1123
non fci,t1124
non fci,t1125
fci,t1126
non fci,t1127
fci,t1128
fci,t1129
fci,t1130
fci,t1131
non fci,t1132
fci,t1133
fci,t1134
non fci,t1135
non fci,t1136
fci,t1137
non fci,t1138
non fci,t1139
non fci,t1140
non fci,t1141
non fci,t1142
non fci,t1143
fci,t1144
non fci,t1145
fci,t1146
non fci,t1147
non fci,t1148
non fci,t1149
non fci,t1150
non fci,t1151
non fci,t1152
non fci,t1153
non fci,t1154
non fci,t1155
non fci,t1156
non fci,t1157
non fci,t1158
non fci,t1159
non fci,t1160
non fci,t1161
non fci,t1162
non fci,t1163
non fci,t1164
non fci,t1165
non fci,t1166
non fci,t1167
non fci,t1168
non fci,t1169
non fci,t1170
non fci,t1171
non fci,t1172
non fci,t1173
non fci,t1174
non fci,t1175
non fci,t1176
non fci,t1177
non fci,t1178
non fci,t1179
non fci,t1180
non fci,t1181
non fci,t1182
non fci,t1183
non fci,t1184
non fci,t1185
non fci,t1186
non fci,t1187
non fci,t1188
non fci,t1189
non fci,t1190
non fci,t1191
non fci,t1192
non fci,t1193
non fci,t1194
non fci,t1195
fci,t1196
non fci,t1197
non fci,t1198
non fci,t1199
non fci,t1200
fci,t1201
non fci,t1202
non fci,t1203
non fci,t1204
non fci,t1205
non fci,t1206
non fci,t1207
non fci,t1208
non fci,t1209
non fci,t1210
non fci,t1211
non fci,t1212
non fci,t1213
non fci,t1214
non fci,t1215
non fci,t1216
non fci,t1217
non fci,t1218
non fci,t1219
non fci,t1220
non fci,t1221
non fci,t1222
fci,t1223
non fci,t1224
non fci,t1225
non fci,t1226
non fci,t1227
non fci,t1228
non fci,t1229
non fci,t1230
non fci,t1231
non fci,t1232
non fci,t1233
non fci,t1234
non fci,t1235
non fci,t1236
non fci,t1237
non fci,t1238
fci,t1239
non fci,t1240
non fci,t1241
non fci,t1242
non fci,t1243
non fci,t1244
non fci,t1245
non fci,t1246
non fci,t1247
non fci,t1248
non fci,t1249
non fci,t1250
non fci,t1251
non fci,t1252
non fci,t1253
non fci,t1254
non fci,t1255
non fci,t1256
non fci,t1257
non fci,t1258
non fci,t1259
non fci,t1260
non fci,t1261
non fci,t1262
non fci,t1263
non fci,t1264
non fci,t1265
non fci,t1266
non fci,t1267
non fci,t1268
non fci,t1269
non fci,t1270
non fci,t1271
non fci,t1272
non fci,t1273
non fci,t1274
non fci,t1275
non fci,t1276
non fci,t1277
non fci,t1278
non fci,t1279
non fci,t1280
non fci,t1281
fci,t1282
non fci,t1283
non fci,t1284
non fci,t1285
non fci,t1286
non fci,t1287
fci,t1288
non fci,t1289
non fci,t1290
non fci,t1291
non fci,t1292
fci,t1293
non fci,t1294
non fci,t1295
non fci,t1296
non fci,t1297
non fci,t1298
non fci,t1299
non fci,t1300
non fci,t1301
non fci,t1302
non fci,t1303
non fci,t1304
non fci,t1305
non fci,t1306
non fci,t1307
non fci,t1308
non fci,t1309
non fci,t1310
non fci,t1311
non fci,t1312
non fci,t1313
non fci,t1314
non fci,t1315
non fci,t1316
non fci,t1317
non fci,t1318
non fci,t1319
non fci,t1320
non fci,t1321
non fci,t1322
non fci,t1323
non fci,t1324
non fci,t1325
non fci,t1326
non fci,t1327
fci,t1328
fci,t1329
non fci,t1330
fci,t1331
non fci,t1332
non fci,t1333
non fci,t1334
non fci,t1335
non fci,t1336
fci,t1337
non fci,t1338
non fci,t1339
non fci,t1340
fci,t1341
non fci,t1342
non fci,t1343
non fci,t1344
fci,t1345
non fci,t1346
non fci,t1347
non fci,t1348
fci,t1349
non fci,t1350
non fci,t1351
non fci,t1352
non fci,t1353
non fci,t1354
non fci,t1355
non fci,t1356
non fci,t1357
non fci,t1358
non fci,t1359
non fci,t1360
non fci,t1361
non fci,t1362
non fci,t1363
non fci,t1364
non fci,t1365
non fci,t1366
non fci,t1367
non fci,t1368
non fci,t1369
non fci,t1370
fci,t1371
non fci,t1372
non fci,t1373
fci,t1374
non fci,t1375
non fci,t1376
fci,t1377
non fci,t1378
non fci,t1379
non fci,t1380
non fci,t1381
non fci,t1382
non fci,t1383
fci,t1384
non fci,t1385
non fci,t1386
non fci,t1387
non fci,t1388
non fci,t1389
non fci,t1390
fci,t1391
non fci,t1392
non fci,t1393
non fci,t1394
non fci,t1395
non fci,t1396
fci,t1397
non fci,t1398
non fci,t1399
non fci,t1400
non fci,t1401
non fci,t1402
fci,t1403
fci,t1404
non fci,t1405
non fci,t1406
non fci,t1407
non fci,t1408
non fci,t1409
non fci,t1410
non fci,t1411
non fci,t1412
non fci,t1413
fci,t1414
non fci,t1415
non fci,t1416
non fci,t1417
fci,t1418
non fci,t1419
non fci,t1420
non fci,t1421
non fci,t1422
non fci,t1423
non fci,t1424
fci,t1425
non fci,t1426
fci,t1427
fci,t1428
non fci,t1429
fci,t1430
non fci,t1431
non fci,t1432
non fci,t1433
fci,t1434
non fci,t1435
fci,t1436
non fci,t1437
fci,t1438
non fci,t1439
non fci,t1440
non fci,t1441
non fci,t1442
